codigo,nombre,municipio,tipo,especialidad,familia_fp
28028374,DIONISIO AGUADO,Fuenlabrada,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028404,BUTARQUE,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028428,AVENIDA DE LOS TOREROS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028431,MARIANO JOSE DE LARRA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028453,LA ESTRELLA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028465,SAN JUAN BAUTISTA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028477,JAIME VERA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028568,MANUEL DE FALLA,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028571,LAS ROZAS I,"Rozas de Madrid, Las",IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028611,GONZALO TORRENTE BALLESTER,San Sebastián de los Reyes,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028672,RAMIRO DE MAEZTU,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28028684,JUAN DE HERRERA,San Lorenzo de El Escorial,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28029251,SILVERIO LANZA,Getafe,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030137,FORTUNY,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030149,CIUDAD DE LOS POETAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030150,RAMON Y CAJAL,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030162,MIGUEL DELIBES,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030174,CELESTINO MUTIS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030186,DAMASO ALONSO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030216,HUMANEJOS,Parla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030228,LEON FELIPE,Torrejón de Ardoz,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030241,PRADO DE SANTO DOMINGO,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030575,ARTURO SORIA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030903,MATEO ALEMAN,Alcalá de Henares,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030915,GALILEO GALILEI,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030927,BLAS DE OTERO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030939,SAN MATEO,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030952,MARIANA PINEDA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030964,VALLECAS-MAGERIT,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030976,LAS MUSAS,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28030991,BARRIO DE BILBAO,Madrid,CP IFP,Ciclos Formativos de Grado Medio y Superior,Múltiples familias
28031002,LEONARDO DA VINCI,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28031014,MORATALAZ,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28032471,ARQUITECTO PERIDIS,Leganés,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28032481,CIUDAD DE JAEN,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28032501,LEONARDO DA VINCI,Majadahonda,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28032559,ENRIQUE TIERNO GALVAN,Parla,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28033539,ALAMEDA DE OSUNA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28033552,MANUELA MALASAÑA,Móstoles,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28034441,SAN ISIDORO DE SEVILLA,Madrid,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
28034507,JORGE GUILLEN,Alcorcón,IES,ESO | Bachillerato | Ciclos Formativos de GM y GS,Múltiples familias
